gvkey,conm,tic,sic,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT,COUNTY,GSECTOR,GGROUP,GIND,GSUBIND
001162,ADVENTURE LANDS OF AMERICA,ADLA,7990,P,01,LU,11026,68,1978-10-06,1985-11-29,,,,,
001163,ADVANCED MONITORING SYS INC,3ADNME,1389,C,01,LU,11034,245,1982-01-29,1988-03-21,Montgomery,10,1010,101010,10101020
001164,MCI INC,MCIP,4813,P,01,LC,11042,61,1980-11-24,1986-07-28,,50,5010,501010,50101020
001164,MCI INC,MCIP,4813,P,01,LC,11042,61,1986-08-22,2002-07-29,,50,5010,501010,50101020
001164,MCI INC,MCIP,4813,P,10,LC,90284,45424,2004-07-14,2006-01-06,,50,5010,501010,50101020
001165,B-FAST CORP,BFTC,9995,C,01,LC,11069,85,1981-04-14,1988-04-27,,20,2030,203050,20305010
001166,ASM INTERNATIONAL NV,ASMIY,3559,P,90,LC,11077,374,1981-05-12,2015-08-20,,45,4530,453010,45301010
001167,ADVANT CORP,AVNT.1,5045,P,01,LU,11085,5260,1982-01-04,1982-10-29,Santa Clara,,,,
001169,ADV GENETIC SCIENCES,AGSI.,2890,P,01,LC,11114,6414,1983-09-22,1988-11-22,,15,1510,151010,15101020
001170,ADVANCED TELECOMMUN-OLD,ATEL.,4813,P,01,LC,11149,6737,1984-01-31,1985-07-30,Fulton,50,5010,501010,50101020
001170,ADVANCED TELECOMMUN-OLD,ATEL.,4813,C,00X,LC,11149,6737,1983-12-21,1984-01-30,Fulton,50,5010,501010,50101020
001171,ADVANCED TELECOMMUNICATIONS,ATEL.1,4813,P,01,LC,11149,6737,1985-07-31,1992-12-04,,50,5010,501010,50101020
001172,ADV PROFESSIONAL SALES-OLD,APSI.1,5047,C,01,LC,15916,321,1986-07-10,1986-12-31,New York,35,3510,351020,35102010
001172,ADV PROFESSIONAL SALES-OLD,APSI.1,5047,C,01,LC,15916,321,1983-06-24,1985-09-29,New York,35,3510,351020,35102010
001173,AEROSONIC CORP,AIM.1,3812,C,00X,LU,11157,376,1973-02-01,1975-02-27,,20,2010,201010,20101010
001173,AEROSONIC CORP,AIM.1,3812,C,01,LU,11157,376,1975-02-28,2013-06-28,,20,2010,201010,20101010
001174,AEROTRON INC,AERO.1,3663,C,01,LC,11165,22254,1972-12-14,1979-12-31,Wake,,,,
001175,AEROVOX CORP,AVX.2,3670,P,01,LU,44396,24752,1967-05-03,1973-05-31,Bristol,,,,
001177,AETNA INC,AET,6324,P,01,LC,88845,41072,2000-12-14,2018-11-30,,35,3510,351020,35102030
001177,AETNA INC,AET,6324,P,01,LC,46850,20026,1968-09-24,2000-12-13,,35,3510,351020,35102030
001178,AFFILIATED BANKSHARES COLO,AFBK.,6020,P,01,LU,11173,94,1974-01-31,1992-11-30,Denver,40,4010,401010,40101010
001178,AFFILIATED BANKSHARES COLO,AFBK.,6020,C,00X,LU,11173,94,1974-01-01,1974-01-30,Denver,40,4010,401010,40101010
001179,AFFILIATED CAPITAL CORP,AFD,6552,C,00X,LU,52310,25242,1974-01-01,1978-01-30,Harris,,,,
001179,AFFILIATED CAPITAL CORP,AFD,6552,P,01,LU,52310,25242,1978-01-31,1982-01-29,Harris,,,,
001180,AFFILIATED HOSPITAL PRODS,AFH.1,3060,P,01,LU,50569,25134,1970-05-14,1985-02-21,,,,,
001181,AFFILIATED PUBNS,AFP.1,2711,P,01,LC,75618,22086,1989-06-08,1993-10-01,Suffolk,25,2540,254010,25401040
001181,AFFILIATED PUBNS,AFP.1,2711,P,01,LC,57349,25566,1973-08-09,1989-05-31,Suffolk,25,2540,254010,25401040
001182,AFTER SIX INC,TUX.1,2300,P,01,LU,57613,25577,1972-12-14,1984-09-28,,,,,
001183,IDNA INC,IDAI.,4899,P,01,LC,11181,6059,1983-06-08,1998-03-09,,25,2540,254010,25401030
001184,AGGIE OIL CO,AGGY.1,1381,P,01,LC,11200,114,1981-09-11,1984-01-26,Kingfisher,,,,
001186,AGNICO EAGLE MINES LTD,AEM,1040,P,01,LC,78223,26174,1982-11-01,E,,15,1510,151040,15104030
001188,AGOIL INC-OLD,AGOLC,1381,P,01,LU,11229,10132,1981-04-06,1983-05-31,Multnomah,,,,
001192,AGUIRRE CO,AGG.2,6500,P,01,LU,17232,22758,1962-01-31,1978-12-08,,,,,
001192,AGUIRRE CO,AGG.2,6500,C,00X,LU,17232,22758,1949-08-01,1962-01-30,,,,,
001194,AHMANSON (H F) & CO,AHM.1,6035,P,01,LU,56266,20028,1972-12-14,1998-10-30,,40,4010,401010,40101010
001195,AID AUTO STORES INC  -OLD,AASS,5013,C,00X,LU,11253,9,1974-01-01,1978-01-30,Kings,25,2550,255010,25501010
001195,AID AUTO STORES INC  -OLD,AASS,5013,P,01,LU,11253,9,1978-01-31,1985-06-28,Kings,25,2550,255010,25501010
001196,AIKEN INDUSTRIES INC,AKN.1,3812,P,01,LU,44820,24779,1968-01-31,1976-09-30,,,,,
